// PatSize	  TextSize	  Naive-RT	    KMP-RT
        10	     10000	      1710	       915
       100	     10000	      1729	       454
      1000	     10000	       166	      1056
        10	     20000	       291	       828
       100	     20000	       253	       778
      1000	     20000	       271	       363
     10000	     20000	       388	       991
        10	     30000	       372	       361
       100	     30000	       321	       336
      1000	     30000	       291	       431
     10000	     30000	       489	      1186
        10	     40000	       409	       356
       100	     40000	       539	       379
      1000	     40000	       617	       363
     10000	     40000	       430	       514
        10	     50000	       534	       616
       100	     50000	       492	       435
      1000	     50000	       564	       476
     10000	     50000	       558	       556
        10	     60000	       709	       527
       100	     60000	       617	       539
      1000	     60000	       599	       593
     10000	     60000	       610	       898
        10	     70000	       719	       675
       100	     70000	       714	       672
      1000	     70000	       913	       674
     10000	     70000	       884	       925
        10	     80000	       943	       832
       100	     80000	      1043	       772
      1000	     80000	      1078	      1028
     10000	     80000	       916	       838
        10	     90000	      1006	      1009
       100	     90000	      1073	       968
      1000	     90000	       979	      1005
     10000	     90000	      1094	       883
        10	    100000	      1111	      1064
       100	    100000	      1064	       955
      1000	    100000	      1208	      1020
     10000	    100000	      1165	       974
        10	    110000	      1071	      1267
       100	    110000	      1053	       981
      1000	    110000	      1083	       981
     10000	    110000	      1109	      1055
        10	    120000	      1171	       975
       100	    120000	      1194	       932
      1000	    120000	      1208	       953
     10000	    120000	      1213	       964
        10	    130000	      1082	      1231
       100	    130000	      1080	      1431
      1000	    130000	      1085	      1324
     10000	    130000	      1256	      1366
        10	    140000	      1434	      1610
       100	    140000	      1718	      1486
      1000	    140000	      1987	      1333
     10000	    140000	      2204	      1375
        10	    150000	      1561	      1361
       100	    150000	      1609	      1348
      1000	    150000	      1727	      1462
     10000	    150000	      1590	      1377
        10	    160000	      1668	      1469
       100	    160000	      1725	      1421
      1000	    160000	      1762	      1437
     10000	    160000	      1757	      1422
        10	    170000	      1754	      1507
       100	    170000	      1769	      1586
      1000	    170000	      1763	      1630
     10000	    170000	      1688	      1486
        10	    180000	      1724	      3509
       100	    180000	      1608	      2716
      1000	    180000	      1975	      2309
     10000	    180000	      2075	      2013
        10	    190000	      2583	      1721
       100	    190000	      2545	      1722
      1000	    190000	      2104	      1609
     10000	    190000	      1902	      2129
        10	    200000	      2534	      1584
       100	    200000	      2380	      1545
      1000	    200000	      1943	      1899
     10000	    200000	      2003	      2069
    100000	    200000	      2262	      2648
        10	    210000	      2443	      1617
       100	    210000	      2155	      5240
      1000	    210000	      2165	      1929
     10000	    210000	      2072	      1855
    100000	    210000	      2450	      2474
        10	    220000	      2102	      1727
       100	    220000	      2666	      1706
      1000	    220000	      2270	      1699
     10000	    220000	      2323	      1712
    100000	    220000	      2445	      2091
        10	    230000	      1882	      1719
       100	    230000	      2180	      1827
      1000	    230000	      2266	      1974
     10000	    230000	      2178	      1824
    100000	    230000	      2266	      2155
        10	    240000	      2069	      2062
       100	    240000	      2131	      2060
      1000	    240000	      2131	      2120
     10000	    240000	      2265	      2076
    100000	    240000	      2662	      2476
        10	    250000	      2300	      1883
       100	    250000	      2042	      1983
      1000	    250000	      2571	      2142
     10000	    250000	      2822	      1887
    100000	    250000	      2487	      2146
        10	    260000	      2201	      2009
       100	    260000	      2882	      2013
      1000	    260000	      2707	      1999
     10000	    260000	      2821	      1970
    100000	    260000	      2798	      2272
        10	    270000	      2167	      1975
       100	    270000	      2392	      1961
      1000	    270000	      2172	      2121
     10000	    270000	      2273	      1889
    100000	    270000	      2589	      2274
        10	    280000	      2290	      2041
       100	    280000	      2672	      2144
      1000	    280000	      2216	      2022
     10000	    280000	      2300	      1993
    100000	    280000	      2614	      1952
        10	    290000	      3109	      2223
       100	    290000	      2424	      2172
      1000	    290000	      2436	      2315
     10000	    290000	      2589	      2156
    100000	    290000	      2936	      2382
        10	    300000	      2410	      2239
       100	    300000	      2509	      2174
      1000	    300000	      2418	      2206
     10000	    300000	      2467	      2114
    100000	    300000	      2953	      2057
        10	    310000	      2549	      2411
       100	    310000	      2504	      2921
      1000	    310000	      2517	      2702
     10000	    310000	      2563	      2409
    100000	    310000	      3256	      2474
        10	    320000	      3032	      2550
       100	    320000	      2924	      2581
      1000	    320000	      2847	      2534
     10000	    320000	      2972	      2389
    100000	    320000	      3328	      2290
        10	    330000	      2936	      3051
       100	    330000	      2787	      2602
      1000	    330000	      2906	      2726
     10000	    330000	      2862	      2863
    100000	    330000	      3407	      2267
        10	    340000	      2891	      2827
       100	    340000	      2914	      2959
      1000	    340000	      2906	      2534
     10000	    340000	      2924	      2516
    100000	    340000	      3357	      2672
        10	    350000	      3110	      2823
       100	    350000	      3397	      2943
      1000	    350000	      2891	      2988
     10000	    350000	      2882	      2887
    100000	    350000	      3814	      2493
        10	    360000	      3260	      2836
       100	    360000	      3050	      2849
      1000	    360000	      3016	      2810
     10000	    360000	      3103	      2612
    100000	    360000	      3897	      4052
        10	    370000	      3396	      3072
       100	    370000	      3094	      3012
      1000	    370000	      3111	      3657
     10000	    370000	      3392	      3447
    100000	    370000	      3675	      3526
        10	    380000	      4492	      3635
       100	    380000	      3890	      3738
      1000	    380000	      4097	      3465
     10000	    380000	      3972	      3576
    100000	    380000	      4662	      3496
        10	    390000	      3822	      3110
       100	    390000	      4292	      3510
      1000	    390000	      4071	      3676
     10000	    390000	      3940	      3870
    100000	    390000	      4538	      4239
        10	    400000	      4648	      3750
       100	    400000	      4098	      3883
      1000	    400000	      4050	      3894
     10000	    400000	      4281	      3927
    100000	    400000	      5218	      3271
        10	    410000	      4781	      4072
       100	    410000	      4147	      4499
      1000	    410000	      4190	      3863
     10000	    410000	      4260	      3835
    100000	    410000	      5005	      3587
        10	    420000	      4191	      4014
       100	    420000	      4242	      3958
      1000	    420000	      4528	      3938
     10000	    420000	      4268	      3856
    100000	    420000	      5335	      3339
        10	    430000	      4609	      4035
       100	    430000	      4280	      3952
      1000	    430000	      4305	      4161
     10000	    430000	      4784	      4190
    100000	    430000	      5601	      3104
        10	    440000	      3640	      3183
       100	    440000	      3634	      3578
      1000	    440000	      3593	      3415
     10000	    440000	      3657	      3172
    100000	    440000	      4495	      4406
        10	    450000	      3732	      3483
       100	    450000	      3570	      3488
      1000	    450000	      3603	      3488
     10000	    450000	      3771	      3230
    100000	    450000	      6241	      2915
        10	    460000	      4087	      3705
       100	    460000	      4122	      3963
      1000	    460000	      3929	      3356
     10000	    460000	      3889	      3131
    100000	    460000	      4531	      2883
        10	    470000	      4121	      3415
       100	    470000	      3863	      3591
      1000	    470000	      3756	      3428
     10000	    470000	      3873	      3560
    100000	    470000	      4523	      3102
        10	    480000	      4361	      3789
       100	    480000	      4031	      3821
      1000	    480000	      3854	      3774
     10000	    480000	      4190	      3442
    100000	    480000	      5282	      2965
        10	    490000	      4168	      3791
       100	    490000	      4066	      3785
      1000	    490000	      4265	      3775
     10000	    490000	      4294	      3548
    100000	    490000	      4960	      3201
        10	    500000	      4851	      4548
       100	    500000	      4150	      3915
      1000	    500000	      5292	      3922
     10000	    500000	      5370	      3613
    100000	    500000	      6059	      2929
        10	    510000	      4279	      3981
       100	    510000	      4273	      4065
      1000	    510000	      4299	      5119
     10000	    510000	      4789	      3700
    100000	    510000	      5962	      3009
        10	    520000	      4314	      3922
       100	    520000	      4218	      4016
      1000	    520000	      4367	      3992
     10000	    520000	      4308	      3927
    100000	    520000	      6240	      4653
        10	    530000	      4560	      4016
       100	    530000	      4418	      4043
      1000	    530000	      4431	      4024
     10000	    530000	      4599	      3781
    100000	    530000	      5324	      2959
        10	    540000	      4766	      4112
       100	    540000	      4327	      4052
      1000	    540000	      4375	      4293
     10000	    540000	      4432	      3887
    100000	    540000	      5357	      3143
        10	    550000	      4443	      3994
       100	    550000	      4681	      4104
